link,title,pubDate,isoDate,comments,content,contentSnippet
https://blog.cloudflare.com/how-cloudflare-mitigated-yet-another-okta-compromise/,"How Cloudflare mitigated yet another Okta compromise","Sun, 16 Aug 2026 05:23:00 +0000",2026-08-16T05:23:00.000Z,https://news.ycombinator.com/item?id=49300137,"<a href=""https://news.ycombinator.com/item?id=49300137"">Comments</a>",Comments
https://github.blog/news-insights/company-news/security-alert-stolen-oauth-user-tokens/,"Security alert: Attack campaign involving stolen OAuth user tokens issued to two third-party integrators","Sun, 16 Aug 2026 04:46:00 +0000",2026-08-16T04:46:00.000Z,https://news.ycombinator.com/item?id=49300274,"<a href=""https://news.ycombinator.com/item?id=49300274"">Comments</a>",Comments
https://blog.cloudflare.com/2022-07-sms-phishing-attacks/,"The mechanics of a sophisticated phishing scam and how we stopped it","Sun, 16 Aug 2026 04:09:00 +0000",2026-08-16T04:09:00.000Z,https://news.ycombinator.com/item?id=49300411,"<a href=""https://news.ycombinator.com/item?id=49300411"">Comments</a>",Comments
https://www.twilio.com/en-us/blog/august-2022-social-engineering-attack,"Incident Report: Employee and Customer Account Compromise","Sun, 16 Aug 2026 03:32:00 +0000",2026-08-16T03:32:00.000Z,https://news.ycombinator.com/item?id=49300548,"<a href=""https://news.ycombinator.com/item?id=49300548"">Comments</a>",Comments
https://blog.cloudflare.com/thanksgiving-2023-security-incident/,"Thanksgiving 2023 security incident","Sun, 16 Aug 2026 02:55:00 +0000",2026-08-16T02:55:00.000Z,https://news.ycombinator.com/item?id=49300685,"<a href=""https://news.ycombinator.com/item?id=49300685"">Comments</a>",Comments
https://go.dev/blog/go1.22,"Go 1.22 is released!","Sun, 16 Aug 2026 02:18:00 +0000",2026-08-16T02:18:00.000Z,https://news.ycombinator.com/item?id=49300822,"<a href=""https://news.ycombinator.com/item?id=49300822"">Comments</a>",Comments
https://www.postgresql.org/about/news/postgresql-16-released-2715/,"PostgreSQL: PostgreSQL 16 Released!","Sun, 16 Aug 2026 01:41:00 +0000",2026-08-16T01:41:00.000Z,https://news.ycombinator.com/item?id=49300959,"<a href=""https://news.ycombinator.com/item?id=49300959"">Comments</a>",Comments
https://sqlite.org/whyc.html,"Why Is SQLite Coded In C","Sun, 16 Aug 2026 01:04:00 +0000",2026-08-16T01:04:00.000Z,https://news.ycombinator.com/item?id=49301096,"<a href=""https://news.ycombinator.com/item?id=49301096"">Comments</a>",Comments
https://www.sqlite.org/fasterthanfs.html,"35% Faster Than The Filesystem","Sun, 16 Aug 2026 00:27:00 +0000",2026-08-16T00:27:00.000Z,https://news.ycombinator.com/item?id=49301233,"<a href=""https://news.ycombinator.com/item?id=49301233"">Comments</a>",Comments
https://danluu.com/postmortem-lessons/,"Reading postmortems","Sat, 15 Aug 2026 23:50:00 +0000",2026-08-15T23:50:00.000Z,https://news.ycombinator.com/item?id=49301370,"<a href=""https://news.ycombinator.com/item?id=49301370"">Comments</a>",Comments
https://duckdb.org/2026/07/31/asynchronous-io,"Asynchronous I/O in DuckDB: Work, Thread, Work","Sat, 15 Aug 2026 23:13:00 +0000",2026-08-15T23:13:00.000Z,https://news.ycombinator.com/item?id=49301507,"<a href=""https://news.ycombinator.com/item?id=49301507"">Comments</a>",Comments
https://www.asus.com/accessories/bike-booster/asus-oxiis/oxiis,"ASUS Oxiis｜Bike Booster｜ASUS Global","Sat, 15 Aug 2026 22:36:00 +0000",2026-08-15T22:36:00.000Z,https://news.ycombinator.com/item?id=49301644,"<a href=""https://news.ycombinator.com/item?id=49301644"">Comments</a>",Comments
https://breck.lol/plMakers.html,"The Language Makers Homepages","Sat, 15 Aug 2026 21:59:00 +0000",2026-08-15T21:59:00.000Z,https://news.ycombinator.com/item?id=49301781,"<a href=""https://news.ycombinator.com/item?id=49301781"">Comments</a>",Comments
https://xescu.re/keeta-consensus.pdf,"Modeling and Verification of Keeta's Consensus [pdf]","Sat, 15 Aug 2026 21:22:00 +0000",2026-08-15T21:22:00.000Z,https://news.ycombinator.com/item?id=49301918,"<a href=""https://news.ycombinator.com/item?id=49301918"">Comments</a>",Comments
https://arxiv.org/pdf/2301.00001v1,"Attention Is All You Need [pdf]","Sat, 15 Aug 2026 20:45:00 +0000",2026-08-15T20:45:00.000Z,https://news.ycombinator.com/item?id=49302055,"<a href=""https://news.ycombinator.com/item?id=49302055"">Comments</a>",Comments
https://www.micdrop.gg/,"Mic Drop","Sat, 15 Aug 2026 20:08:00 +0000",2026-08-15T20:08:00.000Z,https://news.ycombinator.com/item?id=49302192,"<a href=""https://news.ycombinator.com/item?id=49302192"">Comments</a>",Comments
https://horn.gg/blog/engineers-will-do-anything-to-avoid-learning-from-history/,"Engineers will do anything to avoid learning from history","Sat, 15 Aug 2026 19:31:00 +0000",2026-08-15T19:31:00.000Z,https://news.ycombinator.com/item?id=49302329,"<a href=""https://news.ycombinator.com/item?id=49302329"">Comments</a>",Comments
https://www.youtube.com/watch?v=dQw4w9WgXcQ,"Rick Astley","Sat, 15 Aug 2026 18:54:00 +0000",2026-08-15T18:54:00.000Z,https://news.ycombinator.com/item?id=49302466,"<a href=""https://news.ycombinator.com/item?id=49302466"">Comments</a>",Comments
https://this-domain-should-not-exist-bw404.example.com/article,"A page that no longer resolves","Sat, 15 Aug 2026 18:17:00 +0000",2026-08-15T18:17:00.000Z,https://news.ycombinator.com/item?id=49302603,"<a href=""https://news.ycombinator.com/item?id=49302603"">Comments</a>",Comments
https://github.com/torvalds/linux/archive/refs/tags/v6.7.zip,"Linux kernel v6.7 source archive [zip]","Sat, 15 Aug 2026 17:40:00 +0000",2026-08-15T17:40:00.000Z,https://news.ycombinator.com/item?id=49302740,"<a href=""https://news.ycombinator.com/item?id=49302740"">Comments</a>",Comments
